,,,,,,Sc,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Y,Ho,Er,Tm,Yb,Lu,,Total REE,Critical,Uncritical,Excessive,PctCrit
Sample,Plant,Unit,Type,Row,Basin,mg kg-1  ,mg kg-1,mg kg-1,mg kg-1,mg kg-1,mg kg-1,mg kg-1,mg kg-1,mg kg-1,mg kg-1,mg kg-1,mg kg-1,mg kg-1,mg kg-1,mg kg-1,mg kg-1,,mg kg-1,mg kg-1,mg kg-1,mg kg-1,%
93487,O,2,ESP,1,IL,21.78,43.60,91.41,10.41,39.37,7.95,1.71,7.43,1.13,6.68,38.22,1.39,4.03,0.58,3.77,0.57,,280,91,69,98,35.3
93488,O,2,ESP,2,IL,17.31,34.30,72.44,8.37,31.38,6.32,1.38,5.85,0.87,5.25,30.09,1.10,3.13,0.46,2.93,0.44,,222,72,55,77,35.3
93604,E,2,ESP,1,IL,28.48,61.00,127.29,14.27,57.00,11.72,2.46,11.64,1.72,9.99,61.40,2.04,5.74,0.82,5.18,0.78,,402,138,99,136,37.1
93605,E,2,ESP,1,IL,23.10,49.24,101.56,11.34,45.18,9.29,1.97,9.29,1.33,7.65,47.76,1.59,4.41,0.64,4.04,0.60,,319,108,79,108,36.6
93606,E,2,ESP,2,IL,33.98,65.38,136.35,15.31,61.05,12.62,2.71,12.83,1.89,10.92,67.58,2.26,6.36,0.92,5.83,0.88,,437,151,106,146,37.4
93607,E,2,ESP,2,IL,22.06,47.63,104.67,11.58,43.39,9.16,2.02,9.19,1.38,8.17,46.89,1.67,4.76,0.67,4.27,0.63,,318,107,78,112,36.0
93608,E,2,ESP,3,IL,29.25,55.35,113.75,12.76,50.93,10.58,2.25,10.72,1.58,9.18,57.09,1.89,5.37,0.78,4.89,0.74,,367,126,89,122,37.4
93609-1,E,2,ESP,3,IL,27.59,56.49,116.71,13.09,49.61,10.25,2.31,10.40,1.60,9.26,55.43,1.87,5.49,0.77,4.86,0.74,,366,124,90,125,36.5
93609-2,E,2,ESP,3,IL,27.99,56.78,117.71,13.14,49.44,10.36,2.37,10.49,1.62,9.31,54.68,1.92,5.55,0.78,4.96,0.74,,368,123,91,126,36.2
93609-3,E,2,ESP,3,IL,30.40,55.22,113.70,12.77,48.20,10.12,2.29,10.37,1.56,9.09,52.73,1.86,5.43,0.77,4.81,0.72,,360,119,88,122,36.2
93609 Avg.,E,2,ESP,3,IL,28.66,56.16,116.04,13.00,49.08,10.24,2.32,10.42,1.59,9.22,54.28,1.88,5.49,0.77,4.88,0.73,,365,122,90,124,36.3
93609 Std. Dev.,E,2,ESP,3,IL,1.25,0.79,2.01,0.18,0.64,0.12,0.04,0.06,0.03,0.11,1.03,0.03,0.06,0.00,0.07,0.01,,4,2,1,2,0.1
93610,E,2,ESP,4,IL,40.14,78.13,161.07,18.24,73.19,15.30,3.34,15.73,2.32,13.54,84.18,2.80,7.85,1.12,7.01,1.08,,525,184,127,173,38.0
93611,E,2,ESP,4,IL,30.55,57.06,118.67,13.19,52.85,10.95,2.32,11.08,1.64,9.54,59.60,1.97,5.57,0.79,5.02,0.76,,382,132,92,127,37.5
93628,R,1,ESP,1,IL,30.26,60.16,122.92,13.80,52.61,11.20,2.56,11.13,1.76,10.53,61.47,2.10,6.15,0.90,5.66,0.84,,394,135,96,132,37.1
93629,R,1,ESP,1,IL,28.29,55.68,115.65,13.03,49.63,10.49,2.38,10.59,1.65,9.82,58.96,2.01,5.82,0.83,5.25,0.79,,371,128,90,125,37.4
93630,R,1,ESP,2,IL,29.63,58.14,119.39,13.53,52.35,10.93,2.43,11.11,1.76,10.24,60.64,2.08,6.05,0.87,5.44,0.83,,385,133,94,129,37.5
93631,R,1,ESP,2,IL,29.55,52.68,108.00,12.02,45.91,9.55,2.20,9.54,1.54,9.15,56.00,1.89,5.44,0.81,4.95,0.76,,350,120,84,116,37.5
93632,R,1,ESP,3,IL,28.64,59.68,121.21,13.56,51.37,10.67,2.41,10.63,1.70,10.16,60.18,2.03,6.07,0.87,5.44,0.82,,385,132,95,130,37.0
93633,R,1,ESP,3,IL,29.44,55.86,114.81,12.87,49.72,10.47,2.34,10.45,1.63,9.62,58.08,1.98,5.71,0.81,5.20,0.78,,370,127,90,124,37.3
93636,R,2,BH,1,7:3 IL-PRB,26.18,49.99,100.99,11.11,41.41,8.43,2.05,8.42,1.33,8.02,46.69,1.67,4.88,0.72,4.55,0.68,,317,104,78,109,35.9
93637,R,2,BH,1,7:3 IL-PRB,26.96,48.19,99.63,10.84,40.60,8.16,2.03,8.21,1.30,8.07,46.22,1.67,4.97,0.71,4.61,0.70,,313,103,75,107,36.1
93638,R,2,BH,1,7:3 IL-PRB,25.94,49.27,98.86,10.91,40.81,8.22,2.02,8.35,1.31,7.96,45.89,1.65,4.80,0.71,4.48,0.69,,312,103,77,106,36.0
93639,R,2,BH,1,7:3 IL-PRB,24.94,46.73,99.00,10.89,40.72,8.24,2.07,8.26,1.31,7.99,45.98,1.65,4.87,0.71,4.55,0.68,,309,103,74,107,36.3
93640,R,2,BH,2,7:3 IL-PRB,26.37,50.53,101.82,11.23,42.01,8.38,2.05,8.25,1.29,7.85,46.38,1.63,4.85,0.71,4.46,0.68,,319,104,78,109,35.8
93641,R,2,BH,2,7:3 IL-PRB,26.73,49.42,100.99,10.95,41.09,8.30,2.05,8.26,1.30,8.06,46.85,1.67,4.92,0.73,4.56,0.69,,317,104,77,109,36.0
93642,R,2,BH,2,7:3 IL-PRB,26.96,47.00,95.56,10.50,39.41,7.87,1.98,7.89,1.24,7.63,44.89,1.58,4.68,0.68,4.35,0.65,,303,100,73,103,36.2
93643,R,2,BH,2,7:3 IL-PRB,27.25,52.91,106.84,11.76,43.95,8.79,2.18,8.78,1.38,8.52,48.89,1.76,5.16,0.76,4.81,0.74,,334,110,82,115,35.8
93644,R,2,BH,3,7:3 IL-PRB,27.23,50.56,102.48,11.23,41.98,8.48,2.11,8.48,1.29,7.90,46.10,1.64,4.83,0.70,4.39,0.67,,320,104,79,110,35.6
93645,R,2,BH,3,7:3 IL-PRB,28.18,54.84,110.45,12.05,45.32,9.03,2.28,9.00,1.41,8.68,51.20,1.79,5.23,0.77,4.91,0.74,,346,114,85,119,35.9
93646,R,2,BH,3,7:3 IL-PRB,27.85,50.67,102.57,11.31,41.51,8.40,2.17,8.39,1.34,8.26,47.79,1.71,4.99,0.75,4.66,0.70,,323,106,79,110,35.9
93647,R,2,BH,3,7:3 IL-PRB,27.32,49.96,100.53,11.01,41.22,8.30,2.08,8.29,1.31,8.06,46.93,1.68,4.92,0.72,4.63,0.70,,318,105,78,108,36.0
93674,M,4,ESP,1,IL,31.72,56.36,113.41,13.04,53.24,11.73,2.61,12.48,1.79,9.92,59.58,2.03,5.59,0.81,5.16,0.78,,380,133,94,122,38.1
93675,M,4,ESP,2,IL,35.00,64.09,129.56,14.87,59.60,12.48,2.76,12.74,1.85,10.75,66.14,2.20,6.24,0.90,5.69,0.88,,426,147,104,139,37.7
93676,M,4,ESP,3,IL,27.49,51.89,104.57,11.74,45.98,9.16,2.02,8.94,1.30,7.60,46.08,1.57,4.50,0.65,4.23,0.65,,328,107,82,112,35.7
93796,H,3,ESP,2,IL,34.44,64.83,137.79,16.52,69.35,15.44,3.28,15.63,2.30,13.19,78.22,2.70,7.59,1.08,6.75,1.02,,470,174,112,149,39.9
93800-1,H,3,ESP,3,IL,34.27,59.65,126.54,15.05,63.59,14.34,3.06,14.53,2.14,12.19,74.14,2.49,6.95,0.97,6.13,0.93,,437,162,104,137,40.2
93800-2,H,3,ESP,3,IL,33.70,59.20,125.79,14.99,62.97,14.26,3.03,14.60,2.12,12.29,72.53,2.47,6.91,0.99,6.07,0.91,,433,160,103,136,40.0
93800-3,H,3,ESP,3,IL,34.16,61.17,128.43,15.28,65.35,14.61,3.13,15.00,2.20,12.74,75.17,2.57,7.15,1.02,6.37,0.96,,445,166,106,139,40.3
93800 Avg.,H,3,ESP,3,IL,34.04,60.01,126.92,15.11,63.97,14.40,3.07,14.71,2.16,12.40,73.95,2.51,7.00,0.99,6.19,0.93,,438,163,104,138,40.2
93800 Std. Dev.,H,3,ESP,3,IL,0.25,0.84,1.11,0.12,1.01,0.15,0.04,0.21,0.04,0.24,1.09,0.04,0.10,0.02,0.13,0.02,,6,3,2,2,0.1
93803,H,3,ESP,4,IL,39.90,64.01,137.11,16.47,69.58,15.79,3.43,16.24,2.38,13.71,82.48,2.77,7.74,1.11,6.85,1.02,,481,179,113,149,40.7
93805,H,3,ESP,5,IL,42.57,66.62,141.55,16.98,72.00,16.58,3.51,16.82,2.47,14.09,83.99,2.83,7.84,1.10,6.85,1.04,,497,184,117,153,40.5
93811-1,HA,3,FA,,PRB,27.26,65.11,133.82,15.16,56.89,11.31,3.59,11.76,1.71,9.54,54.17,1.94,5.59,0.76,4.79,0.73,,404,131,103,142,34.9
93811-2,HA,3,FA,,PRB,25.91,63.38,129.55,14.71,55.26,10.91,3.49,11.29,1.64,9.11,51.52,1.84,5.26,0.74,4.65,0.71,,390,126,100,137,34.7
93811-3,HA,3,FA,,PRB,25.69,65.62,135.03,15.31,57.28,11.28,3.61,11.79,1.69,9.64,53.12,1.91,5.48,0.75,4.90,0.73,,404,131,104,143,34.6
93811 Avg.,HA,3,FA,,PRB,26.29,64.70,132.80,15.06,56.48,11.17,3.56,11.61,1.68,9.43,52.94,1.90,5.45,0.75,4.78,0.72,,399,130,103,141,34.7
93811 Std. Dev.,HA,3,FA,,PRB,0.85,1.18,2.88,0.31,1.07,0.22,0.07,0.28,0.04,0.28,1.34,0.05,0.17,0.01,0.13,0.01,,8,3,2,3,0.2
93843,G,3,mech,3,PRB,17.61,66.94,136.05,14.02,49.89,9.25,2.06,8.09,1.13,6.19,33.03,1.22,3.52,0.52,3.33,0.51,,353,96,98,142,28.5
93847,G,3,BH,2,PRB,22.03,69.31,135.69,14.67,52.95,10.15,2.82,9.68,1.38,7.88,44.47,1.58,4.45,0.63,4.07,0.62,,382,114,104,143,31.6
93849,G,3,BH,3,PRB,22.68,62.49,116.35,12.78,49.49,9.27,2.44,8.90,1.23,6.84,43.64,1.38,3.84,0.56,3.52,0.54,,346,107,93,122,33.2
93851,G,3,BH,4,PRB,23.83,65.54,124.52,13.64,52.42,10.06,2.54,9.34,1.31,7.30,47.26,1.49,4.14,0.59,3.76,0.58,,368,115,99,131,33.4
93853,G,3,BH,5,PRB,24.79,65.33,123.41,13.65,52.63,10.05,2.59,9.62,1.31,7.46,48.36,1.49,4.25,0.60,3.79,0.58,,370,117,99,130,33.8
93878-1,R,1,ESP,1,IL,25.39,43.36,93.41,10.33,38.80,7.87,1.80,7.77,1.26,7.92,45.62,1.63,4.88,0.73,4.67,0.69,,296,100,69,101,37.0
93878-2,R,1,ESP,1,IL,26.03,44.01,95.21,10.53,39.59,8.11,1.86,7.98,1.29,8.07,47.16,1.68,5.05,0.74,4.69,0.72,,303,103,71,103,37.2
